k,seed,silhouette,davies_bouldin,calinski_harabasz,min_cluster_samples,max_cluster_samples,mean_cluster_samples,min_cluster_duration_hours,max_cluster_duration_hours,mean_cluster_duration_hours,min_cluster_speakers,max_cluster_speakers,duration_balance_ratio,stability_ari
8,123,0.09018246829509735,2.2117730924602252,412.4826805873853,100,882,535.875,0.12506333333333333,1.0503780555555555,0.6251948263888889,37,200,8.398769068116598,0.5329177064224897
8,999,0.09390606731176376,2.174022645724384,412.8640314793053,101,925,535.875,0.12572555555555556,1.0891441666666666,0.6251948263888889,38,199,8.662870184617287,0.5329177064224897
9,42,0.08532138168811798,2.16699730553725,381.60111018108216,100,764,476.3333333333333,0.12506333333333333,0.8915138888888888,0.5557287345679013,37,186,7.128499338113134,0.8185979299166086
9,123,0.08577881753444672,2.1538633377791534,381.5288469855447,99,767,476.3333333333333,0.1239313888888889,0.8839158333333333,0.5557287345679013,37,181,7.132299906086029,0.8185979299166086
9,999,0.08567730337381363,2.2044435486529577,381.4250369592711,100,768,476.3333333333333,0.12506333333333333,0.9057775,0.5557287345679013,37,188,7.242550441109837,0.8185979299166086
10,42,0.07967463880777359,2.239878664822858,356.02856856285365,99,631,428.7,0.12332138888888888,0.7835027777777778,0.500155861111111,37,185,6.3533405262221345,0.6097091911422232
10,123,0.08077075332403183,2.2639919312048384,356.3006430111787,100,661,428.7,0.1245936111111111,0.7962786111111111,0.500155861111111,38,186,6.391006761983961,0.6097091911422232
10,999,0.07904183864593506,2.221358475782236,355.4916513632353,99,613,428.7,0.1239313888888889,0.8051283333333333,0.5001558611111111,37,186,6.496565079692393,0.6097091911422232
11,42,0.07808728516101837,2.290857551300462,335.3432494138033,100,573,389.72727272727275,0.1245936111111111,0.6845613888888888,0.4546871464646465,38,178,5.494353866013283,0.7553140768273756
11,123,0.07800314575433731,2.2565586325243236,334.6584492929131,100,598,389.72727272727275,0.1245936111111111,0.6974958333333333,0.45468714646464636,38,175,5.5981669293726055,0.7553140768273756
11,999,0.07847665995359421,2.2924666928720048,335.3553772262512,100,585,389.72727272727275,0.1245936111111111,0.7048211111111111,0.4546871464646465,38,175,5.65696029536025,0.7553140768273756
12,42,0.07432083040475845,2.2943767892034925,316.57309857530583,102,515,357.25,0.12650527777777779,0.5771647222222223,0.41679655092592593,40,177,4.562376624602838,0.8504677748105334
12,123,0.07519304007291794,2.287943443313185,316.7335098028312,98,559,357.25,0.12265916666666667,0.5993269444444443,0.4167965509259259,36,172,4.886116225403274,0.8504677748105334
12,999,0.07522979378700256,2.2986869684653777,316.5262930241794,101,533,357.25,0.12584305555555556,0.5673761111111111,0.41679655092592593,39,171,4.508600880726655,0.8504677748105334
13,42,0.07550027221441269,2.264291249164601,299.846009038763,99,511,329.7692307692308,0.11981972222222222,0.5953566666666666,0.3847352777777777,36,157,4.968770212657442,0.7743980976594921
13,123,0.07558026164770126,2.2723490487367894,299.72868533655736,98,501,329.7692307692308,0.12265916666666667,0.5878305555555555,0.3847352777777778,36,170,4.792389933261318,0.7743980976594921
13,999,0.07631712406873703,2.2645479291837725,299.88831118245804,98,504,329.7692307692308,0.12042749999999999,0.5759797222222223,0.3847352777777778,36,155,4.7827923208754,0.7743980976594921
14,42,0.07155810296535492,2.341499432016131,284.3394232876495,97,446,306.2142857142857,0.12161749999999999,0.5502902777777778,0.35725418650793656,37,156,4.524762289783771,0.733842661259231
14,123,0.07246207445859909,2.2697752141620833,285.63339081070495,100,469,306.2142857142857,0.10442083333333334,0.5385472222222222,0.35725418650793656,37,156,5.157469108708085,0.733842661259231
14,999,0.07394686341285706,2.2902139309262624,285.27665764400973,100,494,306.2142857142857,0.1243486111111111,0.5645708333333334,0.35725418650793656,37,160,4.540226290335191,0.733842661259231
15,42,0.07252775877714157,2.349874361306056,271.11682538714587,100,422,285.8,0.1250313888888889,0.5260919444444444,0.33343724074074077,37,155,4.2076789606165566,0.6199718956440562
15,123,0.07473636418581009,2.2968955588818027,271.61849206449966,98,514,285.8,0.09406972222222222,0.5316366666666666,0.3334372407407408,37,156,5.651517343814133,0.6199718956440562
15,999,0.07354506850242615,2.275689211490831,271.74549820188406,98,503,285.8,0.10657055555555556,0.5273752777777777,0.33343724074074077,36,153,4.948602125873834,0.6199718956440562
16,42,0.07009349018335342,2.3272867932527563,259.4678341785854,98,431,267.9375,0.09953944444444444,0.5073525,0.3125974131944444,36,143,5.096999514430349,0.6510525344912199
16,123,0.07207375019788742,2.3289845903312987,259.8006366738205,96,434,267.9375,0.0972611111111111,0.5123019444444444,0.3125974131944444,35,138,5.267284514765523,0.6510525344912199
16,999,0.07034394890069962,2.342832730173729,259.4588204801518,100,406,267.9375,0.11006055555555556,0.5209538888888888,0.3125974131944444,37,147,4.733338717574668,0.6510525344912199
17,42,0.067301444709301,2.3674108096756092,248.35564164852025,99,362,252.1764705882353,0.09559055555555555,0.45779416666666667,0.2942093300653595,36,141,4.789115033447052,0.5887452211549408
17,123,0.07164156436920166,2.3297982914944635,248.36397067411363,90,450,252.1764705882353,0.09135416666666667,0.4879511111111111,0.2942093300653595,33,149,5.341312048650703,0.5887452211549408
17,999,0.06993944942951202,2.3375967509861417,249.1130242193548,98,410,252.1764705882353,0.09369527777777778,0.5180280555555555,0.2942093300653595,36,137,5.528859808540096,0.5887452211549408
18,42,0.0655812919139862,2.434976421780375,237.21194739540823,88,380,238.16666666666666,0.08588944444444445,0.4188052777777778,0.27786436728395064,36,135,4.876097179190303,0.5051324965585052
18,123,0.07048816233873367,2.3131210299925704,238.0666557938312,71,457,238.16666666666666,0.0725038888888889,0.5009827777777778,0.27786436728395064,21,139,6.909736642478947,0.5051324965585052
18,999,0.07088927924633026,2.3361638920831576,238.9865202039169,84,405,238.16666666666666,0.07487083333333334,0.5022241666666667,0.27786436728395064,33,137,6.7078746730480265,0.5051324965585052
19,42,0.06556515395641327,2.376738252446612,228.74752493072532,90,336,225.6315789473684,0.07898999999999999,0.42769222222222225,0.2632399269005849,37,135,5.4145109788862165,0.5828452896524927
19,123,0.06893575936555862,2.3061930420365564,228.986366752509,60,389,225.6315789473684,0.07020888888888889,0.44095222222222225,0.2632399269005848,32,138,6.280575425713743,0.5828452896524927
19,999,0.06888827681541443,2.3880893120307456,229.35733880300737,75,395,225.6315789473684,0.06847055555555556,0.47125388888888886,0.2632399269005848,32,133,6.88257726354394,0.5828452896524927
20,42,0.0675852820277214,2.372202250655574,220.79174420066803,71,342,214.35,0.09217138888888889,0.40971722222222223,0.2500779305555555,21,129,4.4451670649785875,0.5494928840762316
20,123,0.0680394321680069,2.3765627843443053,221.07970808603557,94,337,214.35,0.0980975,0.4263102777777778,0.2500779305555555,34,125,4.3457812663704765,0.5494928840762316
20,999,0.06697500497102737,2.383727962629128,220.95812708274033,76,376,214.35,0.08285777777777778,0.4395366666666667,0.25007793055555555,25,136,5.304712224427399,0.5494928840762316
